asta,lotto,puledro,padre,prezzo_eur,venduto,motivo_non_venduto,fonte
ITS Asta Selezionata Yearling Trottatori 2025,172,LILLYBETH GIFONT,NAD AL SHEBA,12000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,173,NISOS DI POGGIO,TACTICAL LANDING,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,174,LABEL BIG LAKSMY,NAD AL SHEBA,15000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,175,LUCILLE BI,VERNISSAGE GRIF,8000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,176,LORD JET,TWISTER BI,12000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,177,LARA FAS,MAHARAJAH,,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,178,LOOK AS,EL IDEAL,18000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,179,LIMBO BI,MANOFMANYMISSION,12000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearlings Trottatori 2024,1,ICONA BI,DONATO HANOVER,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,2,IROSHIMA JET,BOOSTER WINNER,16000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,3,IVOR DI GIRIFALCO,SIX PACK,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,4,IPPO WISE L,TRIXTON,16000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,5,ISPICA EFFE,MAHARAJAH,22000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,6,ILONASTALLER TREB,SIX PACK,9000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,7,INSTINCT GRIF,VIVID WISE AS,13000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,9,IPERURANIO PAL,SIX PACK,9000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,10,ILLINOIS WISE AS,MAHARAJAH,47000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,11,ILLUSTRE BRO FONT,SIX PACK,11000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,12,I AM A DREAM GAR,FACE TIME BOURBON,45000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,13,IVOR BIG LAKSMY,NAD AL SHEBA,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,14,IBRA WIND,READLY EXPRESS,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,15,IRIDEE DI POGGIO,READLY EXPRESS,12000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,16,IMITRI JET,CALGARY GAMES,12000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,17,ISANDRO DEGLI DEI,DONATO HANOVER,15000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,18,INDURAIN SLM,GREENSHOE,16000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,19,ICE LADY BI,CAPTAIN COREY,19000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,21,INDUSTRY BAR,MAHARAJAH,32000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,22,IMMENSO OF BROWN,CALGARY GAMES,11000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,24,IMMENSIA,GREENSHOE,42000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,25,IL DIVO STECCA,MAHARAJAH,17000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,26,IDEAL GIO,VIVID WISE AS,10000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,27,IACCHETTI SP,TRIXTON,12000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,28,IMAGINE GRIF,DONATO HANOVER,24000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,29,IANG AS,READLY EXPRESS,21000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,30,IN THE NIGHT GAR,VICTOR GIO,48000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,32,ILLYPOP BAR,VITRUVIO,24000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,33,INYOUREYES,CALGARY GAMES,28000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,34,ISSEY DI POGGIO,CHARLIE DU NOYER,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,35,IOLANDA JET,MAHARAJAH,22000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,36,IMAGE OF FAS,FATHER PATRICK,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,37,ICARO BIG LAKSMY,DONATO HANOVER,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,38,IZOARD BLUE GRIF,READLY EXPRESS,48000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,39,INVIDIA BAR,OROPURO BAR,17000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,40,IN THE NIGHT BI,BRILLANTISSIME,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,41,INKLE WISE AS,CAPTAIN COREY,95000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,42,I HAVE A DREAM GAR,GREENSHOE,42000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,43,INDONESIA,VITRUVIO,65000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,44,IRON TOP,CALGARY GAMES,36000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,45,IL PIRATA FONT,FACE TIME BOURBON,40000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,46,IRON LADY,THE BANK,13000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,47,IUPITER,READLY EXPRESS,38000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,48,INSTANT AS,READLY EXPRESS,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,49,INDIPENDENT GAR,FATHER PATRICK,35000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,50,INCANTO WF,VARENNE,27000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,51,INDORADO,LOVE YOU,40000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,52,IPANEMA BAR,VARENNE,17000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,53,I'M GOOD BI,MANOFMANYMISSION,35000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,54,IGIEA DEGLI DEI,MAHARAJAH,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,55,IMPALA WISE AS,MAHARAJAH,66000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,56,ILARIACON,HOHNECK,28000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,57,ITALO JET,MAHARAJAH,39000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,58,IDOS DI POGGIO,CAPTAIN COREY,26000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,59,IFIGENIA OF BROWN,WALNER,105000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,60,INVICTUS SP,VICTOR GIO,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,61,IDEAL AS,EL IDEAL,75000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,62,ICI BLUE GRIF,TACTICAL LANDING,26000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,63,IN THE DARK BI,MAHARAJAH,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,64,I AM FLYING GAR,FATHER PATRICK,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,65,IOSEF BIG LASKMY,CALGARY GAMES,27000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,66,IMEZIO DEGLI DEI,NUNCIO,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,67,ILIA,TACTICAL LANDING,115000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,68,IBISCO JET,WISHING STONE,28000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,69,ITALIAN FERM,GREENSHOE,27000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,70,IN LOVE AS,FATHER PATRICK,67000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,71,IRON BLUE GRIF,GREENSHOE,60000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,72,INDIANA BAR,NUNCIO,48000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,73,I LOVE YOU GAR,CAPTAIN COREY,38000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,74,IADI DI POGGIO,BAR HOPPING,22000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,75,INDIA WISE L,MAHARAJAH,18000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,76,IN TIME BI,FACE TIME BOURBON,60000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,77,INVITUS BAR,MAHARAJAH,90000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,78,ILGAIO JET,CALGARY GAMES,35000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,79,ISFAHAN AS,MAHARAJAH,145000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,80,IRMA DI GIRIFALCO,DONATO HANOVER,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,81,IDRA PAL BAR,FACE TIME BOURBON,75000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,82,IVANTHEKING FONT,VARENNE,35000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,83,ITTRIA,FATHER PATRICK,31000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,84,I AM A DREAMING GAR,FACE TIME BOURBON,75000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,85,IMPRENDIBILE GRIF,MAHARAJAH,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,87,IRON WIND,FACE TIME BOURBON,40000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,88,IGOR DODA,VARENNE,21000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,89,ISKANDAR MIL,FACE TIME BOURBON,35000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,90,IDYIA DI POGGIO,BAR HOPPING,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,91,ICE WISE AS,CALGARY GAMES,220000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,92,IRINA JET,MAHARAJAH,65000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,93,IMMORTALE STECCA,NAPOLEON BAR,8000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,95,IRON BIG LAKSMY,MAHARAJAH,42000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,96,IBERYS DI POGGIO,NUNCIO,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,97,IRIS GAR,GOOGOO GAAGAA,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,98,ICARO GLAMOUR,FATHER PATRICK,25000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,99,INIMITABLE,BAR HOPPING,28000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,100,ICARUS JET,MAHARAJAH,77000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,101,ISIDE DEGLI DEI,NAD AL SHEBA,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,102,ISENGAR WISE AS,EL IDEAL,35000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,103,IVAN BLUE GRIF,FATHER PATRICK,48000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,104,ISTRIA,EL IDEAL,28000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,105,ISTVUD OF BROWN,MAHARAJAH,18000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,106,I LOVE YOU AM,FACE TIME BOURBON,70000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,107,ISLAND TOP,NUNCIO,24000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,107bis,INSOMNIA CLUB,THE BANK,24000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,108,IN THE WIND GAR,CAPTAIN COREY,24000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,109,IKARIN BLUE GRIF,CALGARY GAMES,14000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,110,ILLIONS FAS,GOOGOO GAAGAA,11000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,111,IBERIA,BAR HOPPING,80000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,112,INTRIGO LUNARE,DONATO HANOVER,52000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,113,ICEBERG BI,READLY EXPRESS,60000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,114,IVONNE BAR,OROPURO BAR,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,115,IOSEF JET,CALGARY GAMES,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,116,INFINITY WISE L,FATHER PATRICK,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,117,IOWA ROAD GRIF,NAD AL SHEBA,24000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,118,IZOARD AS,MAHARAJAH,45000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,119,IRNERIO,EL IDEAL,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,120,IRON WISE L,MAHARAJAH,33000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,121,INTER SCHERMER,ADRIAN CHIP,14000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,122,I WILL FLY GAR,CAPTAIN COREY,29000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,123,IL DIAVOLO JET,WISHING STONE,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,124,IMA AS,READLY EXPRESS,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,125,ILLUSIONIST,FATHER PATRICK,40000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,126,INSIDE OUT BI,VARENNE,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,127,ISMENE DEGLI DEI,VARENNE,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,128,INES BIG LAKSMY,NAD AL SHEBA,16000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,129,INTERNATIONAL GAR,VICTOR GIO,33000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,130,IPPOLITO GRIF,NUNCIO,36000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,131,IMPOSSIBLE DREAM,FATHER PATRICK,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,132,INTERSTELLAR AS,READLY EXPRESS,55000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,133,IMOLAG STECCA,NAD AL SHEBA,13000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,134,INVISIBLE EFFE,HOHNECK,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,135,IRDIDDIO MIL,EL IDEAL,20000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,136,ITSWONDERFULL GAR,FACE TIME BOURBON,52000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,137,ISOT DI POGGIO,GELATI CUT,9000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,138,IDEFULL AS,EL IDEAL,40000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,139,INCONTRADA GRIF,GREEN MANALISHI,33000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,140,IDAKO SP,THE BANK,5000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,141,ISLANDIA,EL IDEAL,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,142,IRON FLASH BAR,OROPURO BAR,32000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,143,ICE KILLER GAR,GOOGOO GAAGAA,70000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,144,IRAZU FONT,HOHNECK,45000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,145,IDRA BI,TWISTER BI,14000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,146,ICE FIOR,VICTOR GIO,18000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,147,IOSEPH ZS,THE BANK,8000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,148,INN WISE AS,EL IDEAL,21000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,149,ISMAEL OF BROWN,THE BANK,,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,151,IL BOSS JET,NUNCIO,13000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,152,INSTINCT BI,MANOFMANYMISSION,17000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
ITS Asta Selezionata Yearlings Trottatori 2024,153,IVY DI GIRIFALCO,VARENNE,17000,si,,https://www.its-aste.com/aste/asta-selezionata-yearlings-trottatori-5/
